[WARNING  Support Packages Updater@22-09-22 22:58:19] Cannot contact Dialog Support Package server. Cannot check for updates.
[ACTION   General@22-09-22 22:58:44] Please press the hardware reset button on the board to start the download process.
[INFO     General@22-09-22 22:58:53] Found SW-DP with ID 0x0BC11477
[INFO     General@22-09-22 22:58:53] Scanning AP map to find all available APs
[INFO     General@22-09-22 22:58:53] AP[1]: Stopped AP scan as end of AP map has been reached
[INFO     General@22-09-22 22:58:53] AP[0]: AHB-AP (IDR: 0x04770031)
[INFO     General@22-09-22 22:58:53] Iterating through AP map to find AHB-AP to use
[INFO     General@22-09-22 22:58:54] AP[0]: Core found
[INFO     General@22-09-22 22:58:54] AP[0]: AHB-AP ROM base: 0xE00FF000
[INFO     General@22-09-22 22:58:54] CPUID register: 0x410CC601. Implementer code: 0x41 (ARM)
[INFO     General@22-09-22 22:58:54] Found Cortex-M0 r0p1, Little endian.
[INFO     General@22-09-22 22:58:54] FPUnit: 4 code (BP) slots and 0 literal slots
[INFO     General@22-09-22 22:58:54] CoreSight components:
[INFO     General@22-09-22 22:58:54] ROMTbl[0] @ E00FF000
[INFO     General@22-09-22 22:58:54] ROMTbl[0][0]: E000E000, CID: B105E00D, PID: 000BB008 SCS
[INFO     General@22-09-22 22:58:54] ROMTbl[0][1]: E0001000, CID: B105E00D, PID: 000BB00A DWT
[INFO     General@22-09-22 22:58:54] ROMTbl[0][2]: E0002000, CID: B105E00D, PID: 000BB00B FPB
[INFO     General@22-09-22 22:58:54] BTLE device selected.
[INFO     General@22-09-22 22:59:00] Found SW-DP with ID 0x0BC11477
[INFO     General@22-09-22 22:59:00] Scanning AP map to find all available APs
[INFO     General@22-09-22 22:59:00] AP[1]: Stopped AP scan as end of AP map has been reached
[INFO     General@22-09-22 22:59:00] AP[0]: AHB-AP (IDR: 0x04770031)
[INFO     General@22-09-22 22:59:00] Iterating through AP map to find AHB-AP to use
[INFO     General@22-09-22 22:59:00] AP[0]: Core found
[INFO     General@22-09-22 22:59:00] AP[0]: AHB-AP ROM base: 0xE00FF000
[INFO     General@22-09-22 22:59:00] CPUID register: 0x410CC601. Implementer code: 0x41 (ARM)
[INFO     General@22-09-22 22:59:00] Found Cortex-M0 r0p1, Little endian.
[INFO     General@22-09-22 22:59:01] FPUnit: 4 code (BP) slots and 0 literal slots
[INFO     General@22-09-22 22:59:01] CoreSight components:
[INFO     General@22-09-22 22:59:01] ROMTbl[0] @ E00FF000
[INFO     General@22-09-22 22:59:01] ROMTbl[0][0]: E000E000, CID: B105E00D, PID: 000BB008 SCS
[INFO     General@22-09-22 22:59:01] ROMTbl[0][1]: E0001000, CID: B105E00D, PID: 000BB00A DWT
[INFO     General@22-09-22 22:59:01] ROMTbl[0][2]: E0002000, CID: B105E00D, PID: 000BB00B FPB
[INFO     General@22-09-22 22:59:01] BTLE device selected.
[INFO     Flash Code@22-09-22 22:59:02] Found SW-DP with ID 0x0BC11477
[INFO     Flash Code@22-09-22 22:59:02] AP map detection skipped. Manually configured AP map found.
[INFO     Flash Code@22-09-22 22:59:02] AP[0]: AHB-AP (IDR: Not set)
[INFO     Flash Code@22-09-22 22:59:02] AP[0]: Core found
[INFO     Flash Code@22-09-22 22:59:02] AP[0]: AHB-AP ROM base: 0xE00FF000
[INFO     Flash Code@22-09-22 22:59:02] CPUID register: 0x410CC601. Implementer code: 0x41 (ARM)
[INFO     Flash Code@22-09-22 22:59:02] Found Cortex-M0 r0p1, Little endian.
[INFO     Flash Code@22-09-22 22:59:02] FPUnit: 4 code (BP) slots and 0 literal slots
[INFO     Flash Code@22-09-22 22:59:02] CoreSight components:
[INFO     Flash Code@22-09-22 22:59:02] ROMTbl[0] @ E00FF000
[INFO     Flash Code@22-09-22 22:59:02] ROMTbl[0][0]: E000E000, CID: B105E00D, PID: 000BB008 SCS
[INFO     Flash Code@22-09-22 22:59:02] ROMTbl[0][1]: E0001000, CID: B105E00D, PID: 000BB00A DWT
[INFO     Flash Code@22-09-22 22:59:02] ROMTbl[0][2]: E0002000, CID: B105E00D, PID: 000BB00B FPB
[INFO     Flash Code@22-09-22 22:59:02] Reset: Halt core after reset via DEMCR.VC_CORERESET.
[INFO     Flash Code@22-09-22 22:59:02] Reset: Reset device via AIRCR.SYSRESETREQ.
[INFO     Flash Code@22-09-22 22:59:03] Firmware File C:\Program Files\SmartSnippetsToolbox\SmartSnippetsToolbox5.0.20\common_resources\SupportPackages\DA1453x\toolbox_resources/common/jtag_programmer_531.bin has been selected for downloading.
[INFO     Flash Code@22-09-22 22:59:03] Reset: Halt core after reset via DEMCR.VC_CORERESET.
[INFO     Flash Code@22-09-22 22:59:03] Reset: Reset device via AIRCR.SYSRESETREQ.
[INFO     Flash Code@22-09-22 22:59:03] Reset: Halt core after reset via DEMCR.VC_CORERESET.
[INFO     Flash Code@22-09-22 22:59:03] Reset: Reset device via AIRCR.SYSRESETREQ.
[INFO     SPI Flash Programmer@22-09-22 22:59:03] Successfully configured SPI ports and pins.
[INFO     Flash Code@22-09-22 22:59:03] Successfully downloaded firmware file to the board.
[INFO     Flash Code@22-09-22 22:59:06] Started reading 32768 bytes from memory.
[INFO     Flash Code@22-09-22 22:59:06] Read 16384 bytes from offset 0x00
[INFO     Flash Code@22-09-22 22:59:07] Read 16384 bytes from offset 0x4000
[INFO     Flash Code@22-09-22 22:59:07] Reading has finished. Read 32768 bytes.
[INFO     Flash Code@22-09-22 22:59:12] Started erasing from 0x00 to 0x8000 (9 sectors)
[INFO     Flash Code@22-09-22 22:59:12] Memory erasing completed successfully.
[INFO     Flash Code@22-09-22 22:59:12] Reading memory to verify its contents after erase...
[INFO     Flash Code@22-09-22 22:59:13] Read 16384 bytes from offset 0x00
[INFO     Flash Code@22-09-22 22:59:13] Read 16384 bytes from offset 0x4000
