T2218 1677:594 SEGGER J-Link V6.40 Log File (0000ms, 11773ms total)
T2218 1677:594 DLL Compiled: Oct 26 2018 15:06:12 (0000ms, 11773ms total)
T2218 1677:594 Logging started @ 2022-09-22 20:07 (0000ms, 11773ms total)
T2218 1677:594 JLINK_SetWarnOutHandler(...) (0000ms, 11773ms total)
T2218 1677:594 JLINK_EMU_SelectByUSBSN(SerialNo = 480045312)  returns 0xFFFFFFFF (0001ms, 11774ms total)
T2218 1677:595 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 788529152  returns 0x01 (0000ms, 11774ms total)
T00DC 1679:385 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 788529152  returns 0x01 (0000ms, 11774ms total)
T0DC4 1680:188 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 788529152  returns 0x01 (0001ms, 11775ms total)
T00DC 1682:385 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 788529152  returns 0x01 (0000ms, 11775ms total)
T00DC 1685:385 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 788529152  returns 0x01 (0000ms, 11775ms total)
T00DC 1688:386 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 788529152  returns 0x01 (0000ms, 11775ms total)
T0DC4 1690:189 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 788529152  returns 0x01 (0000ms, 11775ms total)
T00DC 1691:385 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 788529152  returns 0x01 (0000ms, 11775ms total)
T00DC 1694:385 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 788529152  returns 0x01 (0000ms, 11775ms total)
T00DC 1697:386 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 788529152  returns 0x01 (0000ms, 11775ms total)
T0DC4 1700:188 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 788529152  returns 0x01 (0001ms, 11776ms total)
T00DC 1700:385 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 788529152  returns 0x01 (0001ms, 11777ms total)
T00DC 1703:385 JLINK_EMU_GetList(InterfaceMask = 0x00000001, MaxInfos = 0x00000014) [0]: USB, S/N: 788529152  returns 0x01 (0000ms, 11777ms total)
